"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"26","LMO3","LIM domain only 3 (rhombotin-like 2) [Source:HGNC Symbol;Acc:6643]",-1.947762617,0.003790671,"cortical organoid","Urresti et al. 2021","ENSG00000048540","No"
"27","QPRT","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:9755]",0.029280805,0.955218328,"cortical organoid","Urresti et al. 2021","ENSG00000103485","Yes"
"28","C1QTNF5","C1q and tumor necrosis factor related protein 5 [Source:HGNC Symbol;Acc:14344]",-0.764157703,0.01769084,"cortical organoid","Urresti et al. 2021","ENSG00000223953","No"
"29","FAM57B","family with sequence similarity 57, member B [Source:HGNC Symbol;Acc:25295]",0.777022511,0.097284909,"cortical organoid","Urresti et al. 2021","ENSG00000149926","Yes"
"30","SMN1","survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:11117]",-0.535018674,0.002447353,"cortical organoid","Urresti et al. 2021","ENSG00000172062","No"
"31","GREB1L","growth regulation by estrogen in breast cancer-like [Source:HGNC Symbol;Acc:31042]",-2.058358705,0.006743857,"cortical organoid","Urresti et al. 2021","ENSG00000141449","No"
"32","SMN2","survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:11118]",-3.104729272,0.018427337,"cortical organoid","Urresti et al. 2021","ENSG00000205571","No"
"33","ST6GAL2","ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 [Source:HGNC Symbol;Acc:10861]",-0.8775669,0.01769084,"cortical organoid","Urresti et al. 2021","ENSG00000144057","No"
"34","GRID2","glutamate receptor, ionotropic, delta 2 [Source:HGNC Symbol;Acc:4576]",-1.56836397,0.001753407,"cortical organoid","Urresti et al. 2021","ENSG00000152208","No"
"35","NMU","neuromedin U [Source:HGNC Symbol;Acc:7859]",-1.23218923,0.003200802,"cortical organoid","Urresti et al. 2021","ENSG00000109255","No"
"36","FAHD1","fumarylacetoacetate hydrolase domain containing 1 [Source:HGNC Symbol;Acc:14169]",0.293200714,0.344246254,"cortical organoid","Urresti et al. 2021","ENSG00000180185","No"
"37","RP11-384P7.7","",-0.905388721,0.01525454,"cortical organoid","Urresti et al. 2021","ENSG00000260947","No"
"38","NOP56","NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:15911]",0.312974194,0.021007444,"cortical organoid","Urresti et al. 2021","ENSG00000101361","No"
"39","PLCH2","phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]",0.890735653,0.023632425,"cortical organoid","Urresti et al. 2021","ENSG00000149527","No"
"40","RANBP17","RAN binding protein 17 [Source:HGNC Symbol;Acc:14428]",-0.377214181,0.028120197,"cortical organoid","Urresti et al. 2021","ENSG00000204764","No"
"41","RP4-813F11.4","",1.008537337,0.002882475,"cortical organoid","Urresti et al. 2021","ENSG00000273081","No"
"42","MAP2K6","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:6846]",0.998967845,0.004163513,"cortical organoid","Urresti et al. 2021","ENSG00000108984","No"
"43","C2CD5","C2 calcium-dependent domain containing 5 [Source:HGNC Symbol;Acc:29062]",-0.365782085,0.021007444,"cortical organoid","Urresti et al. 2021","ENSG00000111731","No"
"44","BOLA2","bolA family member 2 [Source:HGNC Symbol;Acc:29488]",0.68489746,0.264015828,"cortical organoid","Urresti et al. 2021","ENSG00000183336","No"
"45","FAM21C","family with sequence similarity 21, member C [Source:HGNC Symbol;Acc:23414]",-0.660975432,0.02095643,"cortical organoid","Urresti et al. 2021","ENSG00000172661","No"
"46","NCALD","neurocalcin delta [Source:HGNC Symbol;Acc:7655]",-0.83760172,0.014698508,"cortical organoid","Urresti et al. 2021","ENSG00000104490","No"
"47","HIST1H2BB","histone cluster 1, H2bb [Source:HGNC Symbol;Acc:4751]",2.909897016,0.056800466,"cortical organoid","Urresti et al. 2021","ENSG00000196226","No"
"48","ASPHD1","aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380]",0.446909245,0.452065538,"cortical organoid","Urresti et al. 2021","ENSG00000174939","Yes"
"49","IRX2","iroquois homeobox 2 [Source:HGNC Symbol;Acc:14359]",-2.841102705,0.01525454,"cortical organoid","Urresti et al. 2021","ENSG00000170561","No"
"50","MEIS1","Meis homeobox 1 [Source:HGNC Symbol;Acc:7000]",-2.560833447,0.019553929,"cortical organoid","Urresti et al. 2021","ENSG00000143995","No"
"51","NBPF1","neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]",-0.537547618,0.021007444,"cortical organoid","Urresti et al. 2021","ENSG00000219481","No"
"52","RPL12","ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]",-0.66603863,0.000330853,"cortical organoid","Urresti et al. 2021","ENSG00000197958","No"
"53","WNT7A","wingless-type MMTV integration site family, member 7A [Source:HGNC Symbol;Acc:12786]",-2.189785732,0.064281264,"cortical organoid","Urresti et al. 2021","ENSG00000154764","No"
"54","AMPH","amphiphysin [Source:HGNC Symbol;Acc:471]",-0.569509762,0.018427337,"cortical organoid","Urresti et al. 2021","ENSG00000078053","No"
"55","CHRM4","cholinergic receptor, muscarinic 4 [Source:HGNC Symbol;Acc:1953]",1.230043591,0.025035694,"cortical organoid","Urresti et al. 2021","ENSG00000180720","No"
"56","COL2A1","collagen, type II, alpha 1 [Source:HGNC Symbol;Acc:2200]",-1.704717592,0.040186324,"cortical organoid","Urresti et al. 2021","ENSG00000139219","No"
"57","INADL","InaD-like (Drosophila) [Source:HGNC Symbol;Acc:28881]",-0.895799604,0.077262877,"cortical organoid","Urresti et al. 2021","ENSG00000132849","No"
"58","ATP6V1G2","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 [Source:HGNC Symbol;Acc:862]",-0.815718568,0.003790671,"cortical organoid","Urresti et al. 2021","ENSG00000213760","No"
"59","CARS","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]",0.334786427,0.123141782,"cortical organoid","Urresti et al. 2021","ENSG00000110619","No"
"60","DNLZ","DNL-type zinc finger [Source:HGNC Symbol;Acc:33879]",0.80006027,0.044630483,"cortical organoid","Urresti et al. 2021","ENSG00000213221","No"
"61","IRX1","iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358]",-2.097004567,0.032103995,"cortical organoid","Urresti et al. 2021","ENSG00000170549","No"
"62","AKT1S1","AKT1 substrate 1 (proline-rich) [Source:HGNC Symbol;Acc:28426]",0.333236478,0.063955741,"cortical organoid","Urresti et al. 2021","ENSG00000204673","No"
"63","CASP3","caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]",0.361780187,0.04483933,"cortical organoid","Urresti et al. 2021","ENSG00000164305","No"
"64","NPIPA5","nuclear pore complex interacting protein family, member A5 [Source:HGNC Symbol;Acc:41980]",1.146734529,0.328042613,"cortical organoid","Urresti et al. 2021","ENSG00000183793","No"
"65","CPNE1","copine I [Source:HGNC Symbol;Acc:2314]",-0.306314264,0.284278603,"cortical organoid","Urresti et al. 2021","ENSG00000214078","No"
"66","HLA-C","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:4933]",1.514658311,0.301458259,"cortical organoid","Urresti et al. 2021","ENSG00000204525","No"
"67","NANOS1","nanos homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:23044]",0.575263508,0.011815595,"cortical organoid","Urresti et al. 2021","ENSG00000188613","No"
"68","ABCA8","ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:38]",-1.453449082,0.01525454,"cortical organoid","Urresti et al. 2021","ENSG00000141338","No"
"69","SNHG17","small nucleolar RNA host gene 17 (non-protein coding) [Source:HGNC Symbol;Acc:48600]",-0.649929798,0.103276603,"cortical organoid","Urresti et al. 2021","ENSG00000196756","No"
"70","C5orf38","chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:24226]",-2.208220056,0.063955741,"cortical organoid","Urresti et al. 2021","ENSG00000186493","No"
"71","RP4-798A10.7","",-0.985302243,0.021097219,"cortical organoid","Urresti et al. 2021","ENSG00000261135","No"
"72","LINC01105","long intergenic non-protein coding RNA 1105 [Source:HGNC Symbol;Acc:26403]",-1.623489154,0.101654552,"cortical organoid","Urresti et al. 2021","ENSG00000232044","No"
"73","CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]",-0.948642341,0.363267067,"cortical organoid","Urresti et al. 2021","ENSG00000138061","No"
"74","BCKDHB","branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:987]",-0.465368442,0.050295253,"cortical organoid","Urresti et al. 2021","ENSG00000083123","No"
"75","CCDC3","coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:23813]",0.869286076,0.07709927,"cortical organoid","Urresti et al. 2021","ENSG00000151468","No"
"76","SLC35G1","solute carrier family 35, member G1 [Source:HGNC Symbol;Acc:26607]",-0.653520993,0.10969554,"cortical organoid","Urresti et al. 2021","ENSG00000176273","No"
"77","DRP2","dystrophin related protein 2 [Source:HGNC Symbol;Acc:3032]",-1.296156033,0.045978326,"cortical organoid","Urresti et al. 2021","ENSG00000102385","No"
"78","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]",-0.621413866,0.060974557,"cortical organoid","Urresti et al. 2021","ENSG00000006282","No"
"79","NAIP","NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]",-0.993475687,0.077262877,"cortical organoid","Urresti et al. 2021","ENSG00000249437","No"
"80","EIF3B","eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:3280]",0.427768983,0.062429433,"cortical organoid","Urresti et al. 2021","ENSG00000106263","No"
"81","SLC16A14","solute carrier family 16, member 14 [Source:HGNC Symbol;Acc:26417]",-0.413896335,0.107825562,"cortical organoid","Urresti et al. 2021","ENSG00000163053","No"
"82","ATXN3","ataxin 3 [Source:HGNC Symbol;Acc:7106]",-0.448076711,0.016000412,"cortical organoid","Urresti et al. 2021","ENSG00000066427","No"
"83","RFX4","regulatory factor X, 4 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9985]",-1.251492336,0.061737995,"cortical organoid","Urresti et al. 2021","ENSG00000111783","No"
"84","ILF3-AS1","ILF3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:27115]",-0.43940679,0.040186324,"cortical organoid","Urresti et al. 2021","ENSG00000267100","No"
"85","DRAXIN","dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:25054]",-0.977434434,0.03053493,"cortical organoid","Urresti et al. 2021","ENSG00000162490","No"
"86","ARHGEF2","Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]",0.575351073,0.085989195,"cortical organoid","Urresti et al. 2021","ENSG00000116584","No"
"87","TMEM150C","transmembrane protein 150C [Source:HGNC Symbol;Acc:37263]",-1.023757673,0.048205164,"cortical organoid","Urresti et al. 2021","ENSG00000249242","No"
"88","TRIM36","tripartite motif containing 36 [Source:HGNC Symbol;Acc:16280]",-0.694464393,0.062565507,"cortical organoid","Urresti et al. 2021","ENSG00000152503","No"
"89","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]",0.84915323,0.020439714,"cortical organoid","Urresti et al. 2021","ENSG00000003249","No"
"90","NDUFA6-AS1","NDUFA6 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:45273]",-0.557583798,0.075973118,"cortical organoid","Urresti et al. 2021","ENSG00000237037","No"
"91","SMG8","SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:25551]",0.255840209,0.086917997,"cortical organoid","Urresti et al. 2021","ENSG00000167447","No"
"92","CTSH","cathepsin H [Source:HGNC Symbol;Acc:2535]",-0.750281286,0.096946302,"cortical organoid","Urresti et al. 2021","ENSG00000103811","No"
"93","MARC1","mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:26189]",-0.441116595,0.174192425,"cortical organoid","Urresti et al. 2021","ENSG00000186205","No"
"94","BBS1","Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:966]",-0.321595478,0.017067307,"cortical organoid","Urresti et al. 2021","ENSG00000174483","No"
"95","KCNIP3","Kv channel interacting protein 3, calsenilin [Source:HGNC Symbol;Acc:15523]",0.867398213,0.112987503,"cortical organoid","Urresti et al. 2021","ENSG00000115041","No"
"96","NR2F1-AS1","NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:48622]",-0.822832531,0.017720999,"cortical organoid","Urresti et al. 2021","ENSG00000237187","No"
"97","IFITM3","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:5414]",-1.234316522,0.060974557,"cortical organoid","Urresti et al. 2021","ENSG00000142089","No"
"98","CTPS2","CTP synthase 2 [Source:HGNC Symbol;Acc:2520]",-0.514763814,0.005059184,"cortical organoid","Urresti et al. 2021","ENSG00000047230","No"
"99","GTDC1","glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]",-0.372356304,0.083182972,"cortical organoid","Urresti et al. 2021","ENSG00000121964","No"
"100","MDFIC","MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:28870]",-0.449818956,0.060712232,"cortical organoid","Urresti et al. 2021","ENSG00000135272","No"
"101","LEPR","leptin receptor [Source:HGNC Symbol;Acc:6554]",-0.589550534,0.360247993,"cortical organoid","Urresti et al. 2021","ENSG00000116678","No"
"102","AP006222.2","",0.395050319,0.622162493,"cortical organoid","Urresti et al. 2021","ENSG00000228463","No"
"103","TAF1B","TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa [Source:HGNC Symbol;Acc:11533]",0.502502906,0.02095643,"cortical organoid","Urresti et al. 2021","ENSG00000115750","No"
"104","RP11-485G4.2","",0.68694555,0.101482748,"cortical organoid","Urresti et al. 2021","ENSG00000272565","No"
"105","EFNA5","ephrin-A5 [Source:HGNC Symbol;Acc:3225]",-0.739228175,0.111228236,"cortical organoid","Urresti et al. 2021","ENSG00000184349","No"
"106","PPIL3","peptidylprolyl isomerase (cyclophilin)-like 3 [Source:HGNC Symbol;Acc:9262]",-0.612751355,0.023632425,"cortical organoid","Urresti et al. 2021","ENSG00000240344","No"
"107","NDST3","N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:HGNC Symbol;Acc:7682]",-1.274501578,0.082736212,"cortical organoid","Urresti et al. 2021","ENSG00000164100","No"
"108","BAZ1A","bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:960]",0.310743644,0.253837858,"cortical organoid","Urresti et al. 2021","ENSG00000198604","No"
"109","TMEFF1","transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:HGNC Symbol;Acc:11866]",-0.45124671,0.053609529,"cortical organoid","Urresti et al. 2021","ENSG00000241697","No"
"110","IRX5","iroquois homeobox 5 [Source:HGNC Symbol;Acc:14361]",-1.630563247,0.103411834,"cortical organoid","Urresti et al. 2021","ENSG00000176842","No"
"111","C11orf96","chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:38675]",1.666537355,0.025035694,"cortical organoid","Urresti et al. 2021","ENSG00000187479","No"
"112","MARS","methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898]",0.209571389,0.154887577,"cortical organoid","Urresti et al. 2021","ENSG00000166986","No"
"113","THAP9-AS1","THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:44172]",-0.458928257,0.099675094,"cortical organoid","Urresti et al. 2021","ENSG00000251022","No"
"114","RIC8B","RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:25555]",-0.260879464,0.10969554,"cortical organoid","Urresti et al. 2021","ENSG00000111785","No"
"115","PDE2A","phosphodiesterase 2A, cGMP-stimulated [Source:HGNC Symbol;Acc:8777]",1.935328866,0.03990073,"cortical organoid","Urresti et al. 2021","ENSG00000186642","No"
"116","PTPRR","protein tyrosine phosphatase, receptor type, R [Source:HGNC Symbol;Acc:9680]",-0.541047967,0.311788389,"cortical organoid","Urresti et al. 2021","ENSG00000153233","No"
"117","ST6GAL1","ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:10860]",-0.356573509,0.323855605,"cortical organoid","Urresti et al. 2021","ENSG00000073849","No"
"118","RP11-169K16.7","",-0.705984847,0.087644994,"cortical organoid","Urresti et al. 2021","ENSG00000233954","No"
"119","FTSJ2","FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352]",0.385300951,0.060974557,"cortical organoid","Urresti et al. 2021","ENSG00000122687","No"
"120","NAP1L1","nucleosome assembly protein 1-like 1 [Source:HGNC Symbol;Acc:7637]",-0.343079999,0.016000412,"cortical organoid","Urresti et al. 2021","ENSG00000187109","No"
"121","SOCS2","suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:19382]",-0.593321924,0.122285225,"cortical organoid","Urresti et al. 2021","ENSG00000120833","No"
"122","RP11-632C17__A.1","",1.541788079,0.282532938,"cortical organoid","Urresti et al. 2021","ENSG00000230202","No"
"123","LINC00966","long intergenic non-protein coding RNA 966 [Source:HGNC Symbol;Acc:48723]",-0.995066622,0.040186324,"cortical organoid","Urresti et al. 2021","ENSG00000254377","No"
"124","C9orf156","chromosome 9 open reading frame 156 [Source:HGNC Symbol;Acc:30967]",0.387827396,0.116293642,"cortical organoid","Urresti et al. 2021","ENSG00000136932","No"
"125","RASA3","RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:20331]",-0.400830787,0.085911545,"cortical organoid","Urresti et al. 2021","ENSG00000185989","No"
"126","TOMM20","translocase of outer mitochondrial membrane 20 homolog (yeast) [Source:HGNC Symbol;Acc:20947]",-0.278963894,0.099215446,"cortical organoid","Urresti et al. 2021","ENSG00000173726","No"
"127","GRB14","growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:4565]",-1.342453433,0.063850273,"cortical organoid","Urresti et al. 2021","ENSG00000115290","No"
"128","GXYLT2","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:33383]",-0.45759767,0.511940267,"cortical organoid","Urresti et al. 2021","ENSG00000172986","No"
"129","COX7A2L","cytochrome c oxidase subunit VIIa polypeptide 2 like [Source:HGNC Symbol;Acc:2289]",-0.223948705,0.090741655,"cortical organoid","Urresti et al. 2021","ENSG00000115944","No"
"130","RALGAPA2","Ral GTPase activating protein, alpha subunit 2 (catalytic) [Source:HGNC Symbol;Acc:16207]",0.31881198,0.07709927,"cortical organoid","Urresti et al. 2021","ENSG00000188559","No"
"131","PCDHA4","protocadherin alpha 4 [Source:HGNC Symbol;Acc:8670]",-1.367396924,0.016000412,"cortical organoid","Urresti et al. 2021","ENSG00000204967","No"
"132","P2RX4","purinergic receptor P2X, ligand-gated ion channel, 4 [Source:HGNC Symbol;Acc:8535]",-0.562713828,0.144256266,"cortical organoid","Urresti et al. 2021","ENSG00000135124","No"
"133","PHLDB2","pleckstrin homology-like domain, family B, member 2 [Source:HGNC Symbol;Acc:29573]",-0.944736376,0.142716342,"cortical organoid","Urresti et al. 2021","ENSG00000144824","No"
"134","FAM196B","family with sequence similarity 196, member B [Source:HGNC Symbol;Acc:37271]",-0.909093254,0.074893501,"cortical organoid","Urresti et al. 2021","ENSG00000204767","No"
"135","ADD3","adducin 3 (gamma) [Source:HGNC Symbol;Acc:245]",-0.385258563,0.062291402,"cortical organoid","Urresti et al. 2021","ENSG00000148700","No"
"136","IGSF3","immunoglobulin superfamily, member 3 [Source:HGNC Symbol;Acc:5950]",-0.53454611,0.055102646,"cortical organoid","Urresti et al. 2021","ENSG00000143061","No"
"137","HERPUD1","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:HGNC Symbol;Acc:13744]",0.348166682,0.173048863,"cortical organoid","Urresti et al. 2021","ENSG00000051108","No"
"138","GNPTAB","N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:HGNC Symbol;Acc:29670]",-0.40713994,0.028916682,"cortical organoid","Urresti et al. 2021","ENSG00000111670","No"
"139","TTC40","tetratricopeptide repeat domain 40 [Source:HGNC Symbol;Acc:25247]",0.689921126,0.041880657,"cortical organoid","Urresti et al. 2021","ENSG00000171811","No"
"140","NR2F1","nuclear receptor subfamily 2, group F, member 1 [Source:HGNC Symbol;Acc:7975]",-1.414729007,0.017720999,"cortical organoid","Urresti et al. 2021","ENSG00000175745","No"
"141","SERF1B","small EDRK-rich factor 1B (centromeric) [Source:HGNC Symbol;Acc:10756]",-0.733437045,0.011207922,"cortical organoid","Urresti et al. 2021","ENSG00000205572","No"
"142","TRMT1","tRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25980]",0.330902661,0.069202316,"cortical organoid","Urresti et al. 2021","ENSG00000104907","No"
"143","CCDC34","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:25079]",-0.470380009,0.133286937,"cortical organoid","Urresti et al. 2021","ENSG00000109881","No"
"144","RN7SL471P","RNA, 7SL, cytoplasmic 471, pseudogene [Source:HGNC Symbol;Acc:46487]",1.84728105,0.037791467,"cortical organoid","Urresti et al. 2021","ENSG00000263426","No"
"145","TIMM50","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:23656]",0.315614856,0.110106345,"cortical organoid","Urresti et al. 2021","ENSG00000105197","No"
"146","AKNA","AT-hook transcription factor [Source:HGNC Symbol;Acc:24108]",0.427614612,0.339947644,"cortical organoid","Urresti et al. 2021","ENSG00000106948","No"
"147","CXADR","coxsackie virus and adenovirus receptor [Source:HGNC Symbol;Acc:2559]",-0.261650818,0.06454719,"cortical organoid","Urresti et al. 2021","ENSG00000154639","No"
"148","SGCD","sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:10807]",1.089420512,0.021951498,"cortical organoid","Urresti et al. 2021","ENSG00000170624","No"
"149","GFRA1","GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:4243]",-1.033885218,0.08668172,"cortical organoid","Urresti et al. 2021","ENSG00000151892","No"
"150","FAM174B","family with sequence similarity 174, member B [Source:HGNC Symbol;Acc:34339]",-0.424211425,0.122285225,"cortical organoid","Urresti et al. 2021","ENSG00000185442","No"
"151","C2orf43","chromosome 2 open reading frame 43 [Source:HGNC Symbol;Acc:26145]",0.362638819,0.221084057,"cortical organoid","Urresti et al. 2021","ENSG00000118961","No"
"152","CCDC64","coiled-coil domain containing 64 [Source:HGNC Symbol;Acc:28095]",0.664508021,0.133903636,"cortical organoid","Urresti et al. 2021","ENSG00000135127","No"
"153","RP1-40E16.9","",-1.188269339,0.038958106,"cortical organoid","Urresti et al. 2021","ENSG00000230269","No"
"154","ADCYAP1R1","adenylate cyclase activating polypeptide 1 (pituitary) receptor type I [Source:HGNC Symbol;Acc:242]",-0.667377706,0.110106345,"cortical organoid","Urresti et al. 2021","ENSG00000078549","No"
"155","ATF5","activating transcription factor 5 [Source:HGNC Symbol;Acc:790]",0.591539045,0.441331706,"cortical organoid","Urresti et al. 2021","ENSG00000169136","No"
"156","RPS26","ribosomal protein S26 [Source:HGNC Symbol;Acc:10414]",0.977257094,0.227276583,"cortical organoid","Urresti et al. 2021","ENSG00000197728","No"
