"gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"NBPF1","neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]",0.220089802,0.044521216,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000219481","No"
"RPL12","ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]",-0.076559781,0.360195253,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197958","No"
"WNT7A","wingless-type MMTV integration site family, member 7A [Source:HGNC Symbol;Acc:12786]",1.015215026,0.005070947,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000154764","No"
"AMPH","amphiphysin [Source:HGNC Symbol;Acc:471]",0.159601901,0.116087855,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000078053","No"
"CHRM4","cholinergic receptor, muscarinic 4 [Source:HGNC Symbol;Acc:1953]",-0.55332853,0.049732485,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000180720","No"
"COL2A1","collagen, type II, alpha 1 [Source:HGNC Symbol;Acc:2200]",0.980790656,0.02512613,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000139219","No"
"INADL","InaD-like (Drosophila) [Source:HGNC Symbol;Acc:28881]",0.67161064,0.007455993,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132849","No"
"ATP6V1G2","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 [Source:HGNC Symbol;Acc:862]",0.012622103,0.910190999,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000213760","No"
"CARS","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:1493]",-0.298252816,0.002930663,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000110619","No"
"DNLZ","DNL-type zinc finger [Source:HGNC Symbol;Acc:33879]",-0.395734592,0.033843375,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000213221","No"
"IRX1","iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358]",0.550672663,0.088602585,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170549","No"
"AKT1S1","AKT1 substrate 1 (proline-rich) [Source:HGNC Symbol;Acc:28426]",-0.227784632,0.01495778,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204673","No"
"CASP3","caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]",-0.173797927,0.038168389,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000164305","No"
"NPIPA5","nuclear pore complex interacting protein family, member A5 [Source:HGNC Symbol;Acc:41980]",-2.066735892,0.000450637,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183793","No"
"CPNE1","copine I [Source:HGNC Symbol;Acc:2314]",0.442208252,0.000531307,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214078","No"
"HLA-C","major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:4933]",-3.93332225,0.000862827,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204525","No"
"NANOS1","nanos homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:23044]",-0.09472306,0.368834551,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000188613","No"
"ABCA8","ATP-binding cassette, sub-family A (ABC1), member 8 [Source:HGNC Symbol;Acc:38]",0.191837715,0.412854552,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141338","No"
"SNHG17","small nucleolar RNA host gene 17 (non-protein coding) [Source:HGNC Symbol;Acc:48600]",0.487630088,0.009620797,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196756","No"
"C5orf38","chromosome 5 open reading frame 38 [Source:HGNC Symbol;Acc:24226]",0.899034544,0.030798428,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000186493","No"
"RP4-798A10.7","",0.194624145,0.243051341,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000261135","No"
"LINC01105","long intergenic non-protein coding RNA 1105 [Source:HGNC Symbol;Acc:26403]",0.897333868,0.008922693,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000232044","No"
"CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]",1.807170936,0.000565329,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000138061","No"
"BCKDHB","branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:987]",0.213024126,0.053688555,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000083123","No"
"CCDC3","coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:23813]",-0.565814685,0.024959024,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151468","No"
"SLC35G1","solute carrier family 35, member G1 [Source:HGNC Symbol;Acc:26607]",0.492717323,0.013291163,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000176273","No"
"DRP2","dystrophin related protein 2 [Source:HGNC Symbol;Acc:3032]",0.353434057,0.108020342,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000102385","No"
"SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]",0.303959937,0.048783218,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000006282","No"
"NAIP","NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]",0.447963733,0.031371718,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000249437","No"
"EIF3B","eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:3280]",-0.209722784,0.049697191,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106263","No"
"SLC16A14","solute carrier family 16, member 14 [Source:HGNC Symbol;Acc:26417]",0.269343336,0.01842058,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163053","No"
"ATXN3","ataxin 3 [Source:HGNC Symbol;Acc:7106]",0.054215074,0.495832598,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000066427","No"
"RFX4","regulatory factor X, 4 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9985]",0.468196953,0.072571649,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111783","No"
"ILF3-AS1","ILF3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:27115]",0.132931126,0.143145495,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000267100","No"
"DRAXIN","dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:25054]",0.275561655,0.181370367,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162490","No"
"ARHGEF2","Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]",-0.323792308,0.033772282,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116584","No"
"TMEM150C","transmembrane protein 150C [Source:HGNC Symbol;Acc:37263]",0.360256667,0.110781392,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000249242","No"
"TRIM36","tripartite motif containing 36 [Source:HGNC Symbol;Acc:16280]",0.279265919,0.076592483,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000152503","No"
"DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]",-0.123214891,0.422061103,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000003249","No"
"NDUFA6-AS1","NDUFA6 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:45273]",0.247135636,0.0553027,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000237037","No"
"SMG8","SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:25551]",-0.143365326,0.037427267,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167447","No"
"CTSH","cathepsin H [Source:HGNC Symbol;Acc:2535]",0.555701804,0.027435875,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103811","No"
"MARC1","mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:26189]",0.408771907,0.009474161,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000186205","No"
"BBS1","Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:966]",0.04169243,0.497425845,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174483","No"
"KCNIP3","Kv channel interacting protein 3, calsenilin [Source:HGNC Symbol;Acc:15523]",-0.560257854,0.02471156,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115041","No"
"NR2F1-AS1","NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:48622]",0.048727477,0.704858508,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000237187","No"
"IFITM3","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:5414]",0.474972882,0.095089214,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142089","No"
"CTPS2","CTP synthase 2 [Source:HGNC Symbol;Acc:2520]",-0.018530582,0.82053113,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000047230","No"
"GTDC1","glycosyltransferase-like domain containing 1 [Source:HGNC Symbol;Acc:20887]",0.171368461,0.053532877,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000121964","No"
"MDFIC","MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:28870]",0.201583009,0.083141893,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135272","No"
"LEPR","leptin receptor [Source:HGNC Symbol;Acc:6554]",0.918017222,0.001402908,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116678","No"
"AP006222.2","",-1.12694214,7.66e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000228463","No"
"TAF1B","TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa [Source:HGNC Symbol;Acc:11533]",-0.093592278,0.36668926,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115750","No"
"RP11-485G4.2","",-0.408054898,0.035719942,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000272565","No"
"EFNA5","ephrin-A5 [Source:HGNC Symbol;Acc:3225]",0.446489583,0.029703635,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000184349","No"
"PPIL3","peptidylprolyl isomerase (cyclophilin)-like 3 [Source:HGNC Symbol;Acc:9262]",0.099314399,0.393618071,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000240344","No"
"NDST3","N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:HGNC Symbol;Acc:7682]",0.416779033,0.072890825,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000164100","No"
"BAZ1A","bromodomain adjacent to zinc finger domain, 1A [Source:HGNC Symbol;Acc:960]",-0.345753881,0.005056948,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198604","No"
"TMEFF1","transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:HGNC Symbol;Acc:11866]",0.153049486,0.141551063,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000241697","No"
"IRX5","iroquois homeobox 5 [Source:HGNC Symbol;Acc:14361]",0.64226132,0.043533758,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000176842","No"
"C11orf96","chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:38675]",-0.364617755,0.317143399,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000187479","No"
"MARS","methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898]",-0.15688253,0.017924639,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166986","No"
"THAP9-AS1","THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:44172]",0.230757775,0.049579396,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000251022","No"
"RIC8B","RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:25555]",0.144978165,0.039712394,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111785","No"
"PDE2A","phosphodiesterase 2A, cGMP-stimulated [Source:HGNC Symbol;Acc:8777]",-0.382026878,0.306681919,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000186642","No"
"PTPRR","protein tyrosine phosphatase, receptor type, R [Source:HGNC Symbol;Acc:9680]",0.624963983,0.002343401,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000153233","No"
"ST6GAL1","ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:10860]",0.445587804,0.002576311,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000073849","No"
"RP11-169K16.7","",0.343219034,0.066451989,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000233954","No"
"FTSJ2","FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:16352]",-0.145145708,0.131287192,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000122687","No"
"NAP1L1","nucleosome assembly protein 1-like 1 [Source:HGNC Symbol;Acc:7637]",0.020019867,0.751872223,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000187109","No"
"SOCS2","suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:19382]",0.328330614,0.038262241,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000120833","No"
"RP11-632C17__A.1","",-2.191207926,0.006178174,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000230202","No"
"LINC00966","long intergenic non-protein coding RNA 966 [Source:HGNC Symbol;Acc:48723]",0.138179994,0.416276366,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000254377","No"
"C9orf156","chromosome 9 open reading frame 156 [Source:HGNC Symbol;Acc:30967]",-0.240398106,0.04296626,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000136932","No"
"RASA3","RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:20331]",0.165364418,0.091644223,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185989","No"
"TOMM20","translocase of outer mitochondrial membrane 20 homolog (yeast) [Source:HGNC Symbol;Acc:20947]",0.141718326,0.063506026,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000173726","No"
"GRB14","growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:4565]",0.335843315,0.190777277,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115290","No"
"GXYLT2","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:33383]",1.092943881,0.001240999,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172986","No"
"COX7A2L","cytochrome c oxidase subunit VIIa polypeptide 2 like [Source:HGNC Symbol;Acc:2289]",0.107271956,0.073766191,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000115944","No"
"RALGAPA2","Ral GTPase activating protein, alpha subunit 2 (catalytic) [Source:HGNC Symbol;Acc:16207]",-0.131717933,0.104989382,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000188559","No"
"PCDHA4","protocadherin alpha 4 [Source:HGNC Symbol;Acc:8670]",-0.015560084,0.943210058,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204967","No"
"P2RX4","purinergic receptor P2X, ligand-gated ion channel, 4 [Source:HGNC Symbol;Acc:8535]",0.402469514,0.030870924,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000135124","No"
"PHLDB2","pleckstrin homology-like domain, family B, member 2 [Source:HGNC Symbol;Acc:29573]",0.611831412,0.033597457,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144824","No"
"FAM196B","family with sequence similarity 196, member B [Source:HGNC Symbol;Acc:37271]",0.265629891,0.155292752,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000204767","No"
"ADD3","adducin 3 (gamma) [Source:HGNC Symbol;Acc:245]",0.127935941,0.170079077,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000148700","No"
"IGSF3","immunoglobulin superfamily, member 3 [Source:HGNC Symbol;Acc:5950]",0.14876764,0.218517901,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000143061","No"
"HERPUD1","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:HGNC Symbol;Acc:13744]",-0.25560031,0.024201627,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000051108","No"
"GNPTAB","N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:HGNC Symbol;Acc:29670]",0.056506238,0.485875496,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111670","No"
"TTC40","tetratricopeptide repeat domain 40 [Source:HGNC Symbol;Acc:25247]",-0.274355965,0.169581428,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171811","No"
"NR2F1","nuclear receptor subfamily 2, group F, member 1 [Source:HGNC Symbol;Acc:7975]",0.047403755,0.849839671,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000175745","No"
"SERF1B","small EDRK-rich factor 1B (centromeric) [Source:HGNC Symbol;Acc:10756]",-0.043496464,0.708792219,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000205572","No"
"TRMT1","tRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25980]",-0.126637377,0.137407769,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104907","No"
"CCDC34","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:25079]",0.293164145,0.041059554,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000109881","No"
"RN7SL471P","RNA, 7SL, cytoplasmic 471, pseudogene [Source:HGNC Symbol;Acc:46487]",-0.386893138,0.343432395,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000263426","No"
"TIMM50","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:23656]",-0.17021702,0.062594832,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105197","No"
"AKNA","AT-hook transcription factor [Source:HGNC Symbol;Acc:24108]",-0.550886531,0.004349296,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106948","No"
"CXADR","coxsackie virus and adenovirus receptor [Source:HGNC Symbol;Acc:2559]",0.088891212,0.16425082,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000154639","No"
"SGCD","sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:10807]",-0.169411469,0.483646589,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170624","No"
"GFRA1","GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:4243]",0.367294646,0.125247369,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151892","No"
"FAM174B","family with sequence similarity 174, member B [Source:HGNC Symbol;Acc:34339]",0.247360549,0.054710211,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185442","No"
